player,elo,hard_elo,clay_elo,grass_elo,52_swon,52_svpt,52_rwon,52_rpt,52_s_pct,52_r_pct,52_s_pct_EM,52_r_pct_EM
Viktor Troicki,1864.53854752,1796.42124138,1777.25989606,1591.05827649,2196.0,3487.0,1291.0,3583.0,0.629767708632,0.360312587217,0.629469781416,0.360174367399
Ivo Karlovic,1858.36840586,1787.36093681,1689.85400755,1759.66698129,2114.0,2890.0,753.0,2868.0,0.731487889273,0.262552301255,0.72956454924,0.263961856491
Tommy Robredo,1855.5937011,1813.25146074,1772.7727576,1606.49302979,595.0,1010.0,347.0,976.0,0.589108910891,0.355532786885,0.589820705715,0.355262720635
Jan Lennard,1853.73788341,1786.51677656,1655.19291649,1410.5929258,2912.0,4501.0,1534.0,4404.0,0.646967340591,0.348319709355,0.646552556461,0.348334060932
Guido Pella,1852.94037669,1744.60967209,1775.72894482,1392.18832543,1705.0,2673.0,1007.0,2684.0,0.637860082305,0.375186289121,0.637332171157,0.374745716575
John Millman,1851.69195808,1766.10815495,1431.86741084,1619.97592629,988.0,1606.0,599.0,1575.0,0.615193026152,0.380317460317,0.61492568178,0.379426498439
Pablo Cuevas,1850.00720912,1711.4105384,1885.98583605,1570.01690481,1861.0,2901.0,1074.0,2940.0,0.641502930024,0.365306122449,0.640966052572,0.365059306498
Andreas Seppi,1846.06615167,1763.30483904,1750.20728314,1721.24692067,1880.0,2946.0,1092.0,3006.0,0.638153428377,0.363273453094,0.637676968668,0.363063372907
Mischa Zverev,1843.1137849,1730.59423722,1612.05894575,1697.29318288,2665.0,4161.0,1395.0,4053.0,0.640471040615,0.344189489267,0.640091189438,0.344252579983
Aljaz Bedene,1839.47731251,1694.80238088,1711.49268401,1678.10261666,1533.0,2278.0,877.0,2414.0,0.672958735733,0.363297431649,0.67173832186,0.36303635999
Denis Istomin,1838.25753447,1762.81359703,1683.18175457,1648.87055321,1514.0,2360.0,857.0,2381.0,0.641525423729,0.359932801344,0.640864398223,0.359733536374
Federico Delbonis,1837.19302247,1697.37430471,1847.3802861,1337.91397764,682.0,1092.0,413.0,1107.0,0.624542124542,0.373080397471,0.623805253821,0.372123903035
Marton Fucsovics,1836.53953858,1687.81381429,1734.77881095,1376.92993455,1294.0,2038.0,800.0,2079.0,0.634936211973,0.3848003848,0.634319089091,0.384021177404
Alex De,1833.88722042,1764.83758035,1467.52547313,1500.0,574.0,908.0,321.0,891.0,0.632158590308,0.360269360269,0.630889700448,0.359736701274
Jerzy Janowicz,1828.53211272,1742.96234646,1649.51333165,1690.2392043,550.0,797.0,207.0,764.0,0.69008782936,0.270942408377,0.685434925747,0.275520230072
Bernard Tomic,1825.02571038,1760.19363187,1591.71113889,1737.57930268,1076.0,1720.0,485.0,1564.0,0.625581395349,0.31010230179,0.625025171208,0.311260717407
Taylor Harry,1822.74266417,1763.77523942,1522.63584424,1422.29887596,1009.0,1574.0,579.0,1561.0,0.641041931385,0.370916079436,0.640056664022,0.370293088223
Jiri Vesely,1821.20479732,1664.43181988,1827.54112533,1587.16837336,2357.0,3769.0,1323.0,3685.0,0.625364818254,0.359023066486,0.625127509453,0.358904920389
Daniel Evans,1820.82064662,1796.47166257,1567.04748217,1532.52560001,476.0,813.0,336.0,862.0,0.585485854859,0.389791183295,0.586464814039,0.387710027672
Egor Gerasimov,1819.35166286,1617.71426856,1652.81104134,1500.0,56.0,65.0,28.0,75.0,0.861538461538,0.373333333333,0.766250229273,0.364199100739
Robin Haase,1819.2655636,1728.02567724,1733.84863878,1599.15321266,3021.0,4719.0,1716.0,4732.0,0.640178003814,0.362637362637,0.639854877432,0.362509430589
Steve Johnson,1815.69272974,1734.50260136,1774.06612048,1733.29176017,2304.0,3551.0,1135.0,3442.0,0.648831315123,0.329750145264,0.648278319751,0.330019468006
Martin Klizan,1813.3740151,1726.35397851,1799.29095865,1442.49829685,752.0,1235.0,435.0,1157.0,0.608906882591,0.375972342264,0.608779065938,0.374942292
Mikhail Kukushkin,1812.52486514,1768.83224438,1585.85115698,1510.8277759,1416.0,2271.0,885.0,2283.0,0.623513870542,0.3876478318,0.623168957708,0.386879206906
Simone Bolelli,1812.22947217,1637.10540623,1836.47948046,1666.55362367,351.0,577.0,165.0,497.0,0.608318890815,0.33199195171,0.608083535971,0.333524533378
Denis Shapovalov,1810.53699821,1744.45365306,1545.84304373,1494.47047083,1572.0,2313.0,792.0,2342.0,0.679636835279,0.338172502135,0.678255229784,0.338399557406
Roberto Carballes,1809.74436562,1427.44799131,1804.73509299,1500.0,319.0,471.0,184.0,493.0,0.677282377919,0.37322515213,0.67134226341,0.371168780608
Ruben Bemelmans,1809.1686653,1722.14749494,1411.65667745,1545.39177735,1025.0,1593.0,530.0,1550.0,0.64344005022,0.341935483871,0.642381138884,0.342164008876
Jared Donaldson,1807.93213314,1716.61399168,1503.08859823,1440.31007529,2111.0,3318.0,1260.0,3425.0,0.636226642556,0.367883211679,0.635832406882,0.367635865159
Yuichi Sugita,1806.57851402,1674.38692978,1634.89646569,1655.85540814,2162.0,3508.0,1300.0,3443.0,0.616305587229,0.377577693872,0.616167263409,0.377200615285
Nicolas Mahut,1805.69150284,1727.90876471,1612.53194292,1725.27968278,1414.0,2208.0,713.0,2132.0,0.640398550725,0.334427767355,0.639684910969,0.334757752591
Donald Young,1805.67600407,1742.67191597,1491.607787,1568.24124714,1713.0,2868.0,894.0,2577.0,0.597280334728,0.346915017462,0.597418873597,0.346964607823
Andrej Martin,1804.03877118,1489.87620176,1772.09924808,1482.14625737,257.0,426.0,188.0,429.0,0.603286384977,0.438228438228,0.603489652325,0.429457004833
Andrey Kuznetsov,1803.54295442,1660.09774506,1771.94025979,1522.22665724,1395.0,2195.0,800.0,2247.0,0.635535307517,0.356030262572,0.634951809765,0.355899589468
Jeremy Chardy,1798.10862552,1704.05825546,1802.25776922,1586.2472673,1540.0,2364.0,899.0,2541.0,0.651438240271,0.353797717434,0.65064771808,0.35372257228
Janko Tipsarevic,1794.16628021,1789.67331607,1701.76821467,1665.09280771,647.0,1051.0,397.0,1081.0,0.615604186489,0.367252543941,0.615203257612,0.366517649061
Marius Copil,1791.97295177,1771.23243158,1594.30211123,1408.00738418,1469.0,2222.0,735.0,2199.0,0.661116111611,0.334242837653,0.660013352088,0.334566863027
Dudi Sela,1789.32632248,1698.33731933,1394.48149139,1663.37636462,1087.0,1716.0,691.0,1784.0,0.63344988345,0.387331838565,0.632769323008,0.386361899157
Marcelo Arevalo,1789.10974906,1817.30160961,1415.57455999,1500.0,240.0,375.0,162.0,385.0,0.64,0.420779220779,0.636424488378,0.413019082511
Florian Mayer,1785.4527116,1658.78058101,1737.68366943,1807.1705335,1090.0,1783.0,544.0,1645.0,0.611329220415,0.330699088146,0.611174598996,0.331227969671
Darian King,1784.32686224,1758.79618367,1412.78572531,1500.0,482.0,821.0,348.0,803.0,0.587088915956,0.433374844334,0.588051958197,0.428731357534
Thanasi Kokkinakis,1782.85773653,1683.01161365,1540.48965445,1527.90901166,880.0,1376.0,377.0,1247.0,0.639534883721,0.302325581395,0.63836192428,0.304051162319
Jurgen Melzer,1782.57465405,1714.1959624,1699.06774517,1674.88109923,82.0,134.0,51.0,137.0,0.611940298507,0.372262773723,0.610350923617,0.366477797332
Yen Hsun,1781.4892584,1706.20018064,1473.41995845,1625.29828033,661.0,1045.0,403.0,1053.0,0.632535885167,0.382716049383,0.631439023554,0.381299519774
Ernests Gulbis,1780.11651528,1673.55370046,1797.0837673,1581.99753206,833.0,1301.0,453.0,1311.0,0.640276710223,0.345537757437,0.639134810161,0.345681400905
Lukas Rosol,1776.62532966,1696.87813944,1702.39918784,1488.33544216,492.0,717.0,240.0,736.0,0.686192468619,0.326086956522,0.681594464767,0.327507455823
Dusan Lajovic,1771.36695621,1673.26541807,1716.43108832,1521.493274,1938.0,2991.0,998.0,2891.0,0.647943831494,0.345209270149,0.647300472758,0.345280942285
Dustin Brown,1764.89845409,1649.68603557,1640.96939945,1635.46782268,1046.0,1724.0,496.0,1594.0,0.606728538283,0.311166875784,0.606693902319,0.312273521517
Albert Montanes,1764.79960603,1548.85562045,1752.57800113,1455.04376072,69.0,131.0,42.0,106.0,0.526717557252,0.396226415094,0.549977305918,0.381891334685
Dmitry Tursunov,1761.61422854,1726.35685329,1681.42031598,1576.00350847,156.0,287.0,81.0,243.0,0.543554006969,0.333333333333,0.553124597257,0.335989447875
Sergiy Stakhovsky,1760.02615371,1679.82158218,1541.72524222,1640.47182529,758.0,1145.0,352.0,1099.0,0.662008733624,0.320291173794,0.659810417993,0.321500286237
Filip Krajinovic,1758.51003993,1723.33184756,1520.61212878,1477.7603682,400.0,618.0,210.0,594.0,0.647249190939,0.353535353535,0.644339508436,0.353251317838
Nikoloz Basilashvili,1758.09849912,1743.08876649,1670.16227686,1523.97920943,2075.0,3498.0,1228.0,3219.0,0.593196112064,0.381484933209,0.593363019562,0.381025571618
Tommy Paul,1756.96603445,1681.72945875,1548.316352,1500.0,495.0,772.0,276.0,784.0,0.641191709845,0.352040816327,0.639274322663,0.351906517916
Ricardas Berankis,1755.46723561,1743.2945638,1426.38972935,1257.96573085,873.0,1421.0,488.0,1391.0,0.614356087262,0.35082674335,0.614080387291,0.350788943386
Horacio Zeballos,1754.22174069,1682.20465029,1721.94080232,1215.83475806,1796.0,2794.0,950.0,2777.0,0.642806012885,0.34209578682,0.642217592352,0.34222234864
Thomaz Bellucci,1754.02081199,1675.37140153,1718.9772675,1442.91495134,1448.0,2365.0,912.0,2417.0,0.612262156448,0.377327265205,0.612139184665,0.376797976343
Joao Sousa,1753.02199035,1689.17708522,1721.59640852,1485.26746696,2571.0,4091.0,1534.0,4207.0,0.628452701051,0.364630377942,0.628212248768,0.36446456195
Cedrik Marcel,1752.67059485,1582.09441432,1741.2397708,1494.18542985,447.0,821.0,326.0,767.0,0.544457978076,0.425032594524,0.547798733006,0.420667055386
Sebastian Ofner,1749.18721817,1482.72607879,1637.93915647,1622.1732995,404.0,651.0,211.0,610.0,0.620583717358,0.345901639344,0.619556073092,0.346172391937
Ivan Dodig,1747.44088018,1588.80160882,1787.07875934,1633.72774442,188.0,309.0,128.0,308.0,0.608414239482,0.415584415584,0.608040650711,0.406831728061
Bjorn Fratangelo,1745.502993,1608.38969847,1606.34518783,1603.21028645,843.0,1375.0,455.0,1303.0,0.613090909091,0.349194167306,0.612838934523,0.349210933838
Guillermo Garcia,1741.27424508,1637.04347618,1768.21302718,1474.88358084,809.0,1304.0,500.0,1328.0,0.620398773006,0.376506024096,0.619914734203,0.37558575528
Matthew Ebden,1740.30419412,1609.2886358,1411.85198718,1569.24207605,708.0,1099.0,427.0,1154.0,0.644222020018,0.370017331023,0.642784214906,0.36921853703
Vasek Pospisil,1740.20676236,1698.42839469,1295.26486382,1539.7192267,1030.0,1603.0,524.0,1601.0,0.642545227698,0.32729544035,0.641543306708,0.327935841809
Henri Laaksonen,1738.19683363,1661.09675987,1635.9445115,1423.64379161,1273.0,2000.0,742.0,2017.0,0.6365,0.36787307883,0.635830601417,0.367457244803
Tennys Sandgren,1737.99698512,1764.87870812,1388.70160516,1450.08429806,810.0,1273.0,425.0,1270.0,0.636292223095,0.334645669291,0.635249430142,0.335183806129
Alexander Bublik,1737.3517819,1687.17589682,1500.0,1497.39523768,193.0,301.0,84.0,276.0,0.641196013289,0.304347826087,0.636238399707,0.310963048931
Mikhail Youzhny,1732.15615485,1712.11438116,1586.91942953,1679.25271404,1277.0,2154.0,660.0,1927.0,0.592850510678,0.342501297353,0.593134593464,0.342672663798
Andreas Haider,1730.48109935,1623.4504942,1701.07244864,1404.29726468,177.0,342.0,73.0,250.0,0.517543859649,0.292,0.530812989975,0.30115381007
Dmitry Popko,1729.3776523,1615.59426618,1616.30986673,1500.0,332.0,509.0,170.0,491.0,0.652259332024,0.346232179226,0.648374066285,0.346533832582
Paolo Lorenzi,1725.28571438,1615.43954116,1712.23282627,1281.60374877,2683.0,4303.0,1498.0,4243.0,0.623518475482,0.353052085788,0.62333119139,0.353014949579
Gastao Elias,1723.42530357,1471.8284828,1746.17484461,1384.60454899,450.0,736.0,315.0,825.0,0.611413043478,0.381818181818,0.61110830893,0.380079899969
Pierre Hugues,1723.31296645,1660.1419903,1582.77726812,1547.06574942,1467.0,2310.0,724.0,2283.0,0.635064935065,0.317126587823,0.634499444791,0.317785382115
Tobias Kamke,1722.94367568,1624.19348685,1690.85527054,1556.6199151,160.0,248.0,101.0,247.0,0.645161290323,0.408906882591,0.639105678095,0.399409818916
Thiago Monteiro,1722.89580393,1473.61123212,1699.08867093,1526.40034877,2014.0,3159.0,965.0,2947.0,0.637543526432,0.327451645741,0.637066730996,0.32780169987
Pablo Andujar,1722.46064003,1525.18232563,1795.77763932,1334.14948483,133.0,207.0,71.0,219.0,0.642512077295,0.324200913242,0.636259785775,0.328714807933
Carlos Berlocq,1720.75094359,1643.1152874,1676.93022795,1353.14655742,1045.0,1782.0,619.0,1694.0,0.586419753086,0.365407319953,0.58690631766,0.364981138077
Thiemo De,1719.44197842,1622.58168223,1727.7058314,1494.54060729,292.0,477.0,148.0,427.0,0.61215932914,0.346604215457,0.611526978806,0.346909578054
Lukas Lacko,1717.81392181,1664.79118256,1423.02318369,1453.79811986,997.0,1535.0,516.0,1520.0,0.649511400651,0.339473684211,0.648259701578,0.339780673263
Santiago Giraldo,1715.11676232,1611.30396457,1687.44369394,1514.77508118,714.0,1171.0,385.0,1081.0,0.609735269001,0.356151711378,0.609566107513,0.355880905424
Ramkumar Ramanathan,1714.99386811,1588.98351999,1500.0,1538.11676439,676.0,1008.0,357.0,1009.0,0.670634920635,0.353815659068,0.667884857565,0.353630712312
Joao Domingues,1714.20345264,1561.04491774,1656.56017366,1500.0,164.0,280.0,110.0,278.0,0.585714285714,0.395683453237,0.588434814639,0.389009848965
Marcel Granollers,1711.26966668,1641.6013474,1669.26605023,1517.75260727,638.0,1069.0,379.0,1111.0,0.596819457437,0.341134113411,0.597151498853,0.341481895167
Nicolas Kicker,1709.94514347,1506.08125027,1753.26183246,1469.6443208,1047.0,1787.0,639.0,1717.0,0.58589815333,0.372160745486,0.586391525541,0.371559567527
Attila Balazs,1708.25428016,1554.25434863,1700.44065156,1500.0,232.0,414.0,126.0,384.0,0.56038647343,0.328125,0.565061297116,0.330482245003
Ricardo Rodriguez,1704.83869014,1728.39333715,1530.4970374,1500.0,305.0,512.0,228.0,507.0,0.595703125,0.449704142012,0.596488825632,0.441190614322
Grega Zemlja,1703.1570372,1547.03602941,1634.8964815,1630.34165196,138.0,198.0,59.0,187.0,0.69696969697,0.31550802139,0.679395396205,0.322389664265
Matthias Bachinger,1703.0822734,1600.4477443,1547.97629752,1448.69560824,66.0,111.0,40.0,121.0,0.594594594595,0.330578512397,0.59751121213,0.335934220158
Yuki Bhambri,1702.44142819,1615.91525743,1534.41580605,1500.0,573.0,903.0,335.0,913.0,0.634551495017,0.366922234392,0.633200682944,0.366074980315
Paul Henri,1700.52574133,1597.05316799,1715.93087414,1606.18927035,152.0,279.0,83.0,274.0,0.544802867384,0.302919708029,0.553267477567,0.309785853063
Frederik Nielsen,1700.3429296,1612.93825406,1443.7810181,1351.06133264,339.0,527.0,206.0,478.0,0.643263757116,0.430962343096,0.640047070938,0.423661884702
Rajeev Ram,1697.24296878,1613.16907974,1591.59749923,1581.02814657,23.0,45.0,24.0,66.0,0.511111111111,0.363636363636,0.549075174424,0.357817187388
Daniel Brands,1696.96372861,1666.58478483,1620.54391716,1497.72222281,136.0,229.0,45.0,193.0,0.593886462882,0.233160621762,0.596051225382,0.256042154248
Jozef Kovalik,1694.94902966,1692.96859187,1494.45391231,1479.21533967,275.0,452.0,157.0,434.0,0.608407079646,0.361751152074,0.608132541855,0.360567336565
Malek Jaziri,1694.13521292,1672.50008182,1591.68069265,1427.80737031,1560.0,2574.0,893.0,2510.0,0.606060606061,0.35577689243,0.60605001152,0.355664332035
Zhizhen Zhang,1689.20644713,1632.94603906,1500.0,1500.0,160.0,253.0,94.0,246.0,0.632411067194,0.382113821138,0.628285676133,0.376894872825
Gerald Melzer,1687.88884142,1395.5185673,1728.06677498,1500.0,560.0,905.0,324.0,913.0,0.618784530387,0.354874041621,0.618165620241,0.35461861393
Samuel Groth,1683.64562411,1515.04493404,1521.94173417,1601.28081798,159.0,236.0,52.0,207.0,0.673728813559,0.251207729469,0.661660364713,0.269479929795
Tatsuma Ito,1681.89073209,1586.46983609,1516.0808424,1543.29658482,96.0,161.0,34.0,133.0,0.596273291925,0.255639097744,0.598572204673,0.280256255466
Victor Estrella,1678.86025142,1555.41580633,1730.55000824,1409.15665734,554.0,956.0,283.0,907.0,0.57949790795,0.312017640573,0.580710278935,0.313879019063
Yannick Hanfmann,1678.45741306,1482.60837061,1650.09562025,1496.00338914,725.0,1181.0,420.0,1159.0,0.613886536833,0.362381363244,0.613575028448,0.361884470808
Benjamin Becker,1677.35001669,1610.01172166,1495.95512785,1621.72825027,47.0,67.0,20.0,72.0,0.701492537313,0.277777777778,0.664835674722,0.306233985395
Casper Ruud,1676.72567946,1486.9183664,1665.3594156,1500.0,659.0,1074.0,361.0,1010.0,0.613594040968,0.357425742574,0.613250843002,0.357079908889
Blaz Kavcic,1674.22538328,1608.02950762,1600.29774193,1327.28413176,224.0,406.0,158.0,423.0,0.551724137931,0.373522458629,0.556832543321,0.371130101922
Frank Dancevic,1671.65843762,1574.75958622,1289.8019983,1551.07496324,97.0,143.0,39.0,130.0,0.678321678322,0.3,0.659756045206,0.313224249193
Teymuraz Gabashvili,1670.77583927,1574.71856686,1670.92042213,1386.62243365,141.0,218.0,90.0,260.0,0.646788990826,0.346153846154,0.640754336627,0.346694382627
Renzo Olivo,1668.04301774,1437.09317964,1641.1133956,1440.84263653,561.0,990.0,404.0,1055.0,0.566666666667,0.382938388626,0.568234533275,0.381514914927
